Cruise,Date,Region,Reef,DataSource,CapMeth,Trap#,Species,LthStd,LthFrk,LthTot,WtTot,FrameWt,Sex,GonadWt
2,5/10/1988,Bunkers,Hoskyn,Res,Handline,0,Gymnocranius audleyi (=bitorquatus),0,28.5,0,0,0,,0
2,5/10/1988,Bunkers,Hoskyn,Res,Handline,0,Sufflamen fraenatus,0,25.5,0,0,0,,0
2,5/10/1988,Bunkers,Hoskyn,Res,Handline,0,Sufflamen fraenatus,0,18,0,0,0,,0
2,5/10/1988,Bunkers,Hoskyn,Res,Handline,0,Choerodon venustus,0,26,0,0,0,,0
2,5/10/1988,Bunkers,Hoskyn,Res,Handline,0,Sufflamen fraenatus,0,33.5,0,0,0,,0
2,5/10/1988,Bunkers,Hoskyn,Res,Handline,0,Carangoides fulvoguttatus,0,45,0,0,0,,0
2,5/10/1988,Bunkers,Hoskyn,Res,Handline,0,Gymnocranius audleyi (=bitorquatus),0,27.5,0,0,0,,0
2,7/10/1988,Capricorns,Tryon,Res,Trap,11,Gymnocranius audleyi (=bitorquatus),0,23.5,0,0,0,,0
2,5/10/1988,Bunkers,Hoskyn,Res,Handline,0,Carangoides fulvoguttatus,0,43.5,0,0,0,,0
2,5/10/1988,Bunkers,Hoskyn,Res,Handline,0,Saurida undosquamis,0,41,0,0,0,,0
2,5/10/1988,Bunkers,Hoskyn,Res,Handline,0,Lutjanus amabilis (=adetii),0,33,0,0,0,,0
2,5/10/1988,Bunkers,Hoskyn,Res,Handline,0,Choerodon venustus,0,32,0,0,0,,0
2,5/10/1988,Bunkers,Hoskyn,Res,Handline,0,Lutjanus amabilis (=adetii),0,32,0,0,0,,0
2,5/10/1988,Bunkers,Hoskyn,Res,Handline,0,Gymnocranius audleyi (=bitorquatus),0,30,0,0,0,,0
2,5/10/1988,Bunkers,Hoskyn,Res,Handline,0,Choerodon venustus,0,36,0,0,0,,0
2,5/10/1988,Bunkers,Hoskyn,Res,Handline,0,Carangoides fulvoguttatus,0,43.5,0,0,0,,0
2,5/10/1988,Bunkers,Hoskyn,Res,Handline,0,Carangoides fulvoguttatus,0,43.5,0,0,0,,0
2,5/10/1988,Bunkers,Hoskyn,Res,Handline,0,Sufflamen fraenatus,0,34,0,0,0,,0
2,5/10/1988,Bunkers,Hoskyn,Res,Handline,0,Sufflamen fraenatus,0,25,0,0,0,,0
2,5/10/1988,Bunkers,Hoskyn,Res,Handline,0,Gymnocranius audleyi (=bitorquatus),0,32.5,0,0,0,,0
2,5/10/1988,Bunkers,Hoskyn,Res,Handline,0,Choerodon venustus,0,25,0,0,0,,0
2,5/10/1988,Bunkers,Hoskyn,Res,Handline,0,Galeocerdo cuvier,0,120,0,0,0,,0
2,5/10/1988,Bunkers,Hoskyn,Res,Handline,0,Gymnocranius audleyi (=bitorquatus),0,25,0,319,0,,0
2,5/10/1988,Bunkers,Hoskyn,Res,Handline,0,Choerodon venustus,0,31.5,0,0,0,,0
2,5/10/1988,Bunkers,Hoskyn,Res,Handline,0,Epinephelus fasciatus,0,28,0,0,0,,0
2,5/10/1988,Bunkers,Hoskyn,Res,Handline,0,Gymnocranius audleyi (=bitorquatus),0,24,0,0,0,,0
2,5/10/1988,Bunkers,Hoskyn,Res,Handline,0,Lutjanus amabilis (=adetii),0,34.5,0,0,0,,0
2,5/10/1988,Bunkers,Hoskyn,Res,Handline,0,Carangoides fulvoguttatus,0,32.5,0,0,0,,0
2,5/10/1988,Bunkers,Hoskyn,Res,Handline,0,Gymnocranius audleyi (=bitorquatus),0,27.5,0,0,0,,0
2,5/10/1988,Bunkers,Hoskyn,Res,Handline,0,Carangoides fulvoguttatus,0,42,0,0,0,,0
2,5/10/1988,Bunkers,Hoskyn,Res,Handline,0,Lutjanus amabilis (=adetii),0,27,0,0,0,,0
2,5/10/1988,Bunkers,Hoskyn,Res,Handline,0,Lutjanus amabilis (=adetii),0,31,0,0,0,,0
2,5/10/1988,Bunkers,Hoskyn,Res,Handline,0,Gymnocranius audleyi (=bitorquatus),0,27,0,0,0,,0
